date,value
2010-01-01,1.306822999999999846
2010-02-01,1.150881999999999961
2010-03-01,1.370060999999999973
2010-04-01,1.552742000000000067
2010-05-01,1.387530999999999848
2010-06-01,1.287892999999999954
2010-07-01,1.640688999999999842
2010-08-01,1.563587000000000060
2010-09-01,1.556926999999999950
2010-10-01,1.798459000000000030
2010-11-01,1.729070000000000107
2010-12-01,1.872646000000000033
2011-01-01,2.106630000000000003
2011-02-01,2.326248999999999789
2011-03-01,2.489091999999999860
2011-04-01,2.615347000000000310
2011-05-01,2.674522000000000066
2011-06-01,2.756968000000000085
2011-07-01,2.725248000000000115
2011-08-01,2.791619999999999990
2011-09-01,3.045561999999999880
2011-10-01,3.328214000000000006
2011-11-01,3.300666999999999796
2011-12-01,3.243543999999999983
2012-01-01,3.253880000000000106
2012-02-01,3.315416999999999614
2012-03-01,3.318821999999999939
2012-04-01,3.310337000000000085
2012-05-01,3.199319000000000024
2012-06-01,3.279275000000000162
2012-07-01,3.034111999999999920
2012-08-01,3.200235999999999859
2012-09-01,3.183663999999999827
2012-10-01,2.623780000000000001
2012-11-01,2.417845999999999940
2012-12-01,2.387952999999999992
2013-01-01,2.180771000000000015
2013-02-01,1.868876999999999899
2013-03-01,1.687856999999999941
2013-04-01,1.185162999999999967
2013-05-01,1.181402999999999981
2013-06-01,1.224849000000000077
2013-07-01,1.223454000000000041
2013-08-01,1.175553000000000070
2013-09-01,0.900167199999999834
2013-10-01,0.694417199999999957
2013-11-01,0.654164000000000079
2013-12-01,0.670014400000000010
2014-01-01,0.630133800000000077
2014-02-01,0.506980099999999934
2014-03-01,0.314225499999999991
2014-04-01,0.516257700000000042
2014-05-01,0.414663999999999977
2014-06-01,0.260001499999999997
2014-07-01,0.082293199999999997
2014-08-01,-0.049742399999999999
2014-09-01,-0.133242799999999995
2014-10-01,0.155297400000000002
2014-11-01,0.222008299999999992
2014-12-01,-0.014343959999999999
2015-01-01,-0.580813199999999918
2015-02-01,-0.161195799999999889
2015-03-01,-0.037338759999999999
2015-04-01,-0.108287999999999995
2015-05-01,0.164442000000000005
2015-06-01,0.172357999999999900
2015-07-01,0.245121599999999995
2015-08-01,0.156506299999999987
2015-09-01,0.185623600000000000
2015-10-01,0.279695099999999974
2015-11-01,0.129595099999999991
2015-12-01,0.087834309999999999
2016-01-01,0.292995999999999979
2016-02-01,-0.200545699999999993
2016-03-01,-0.254625600000000007
2016-04-01,-0.424103299999999905
2016-05-01,-0.335629299999999908
2016-06-01,-0.281921900000000003
2016-07-01,-0.061549640000000003
2016-08-01,-0.024260029999999998
2016-09-01,0.134082100000000010
2016-10-01,-0.118050000000000002
2016-11-01,0.107606499999999994
2016-12-01,0.479675100000000021
2017-01-01,0.975119500000000028
2017-02-01,1.556341999999999892
2017-03-01,1.416692999999999980
2017-04-01,1.839828999999999937
2017-05-01,1.439221000000000084
2017-06-01,1.221414000000000000
2017-07-01,1.071353000000000000
2017-08-01,1.224382000000000081
2017-09-01,1.092046000000000072
2017-10-01,0.964563100000000007
2017-11-01,0.925111499999999976
2017-12-01,0.858427599999999957
2018-01-01,0.933325300000000024
2018-02-01,0.522783700000000073
2018-03-01,0.812121899999999952
2018-04-01,0.494860099999999914
2018-05-01,0.965830100000000025
2018-06-01,1.255716000000000054
2018-07-01,1.526283999999999974
2018-08-01,1.565523999999999916
2018-09-01,1.393138999999999905
2018-10-01,1.579570999999999836
2018-11-01,1.497541999999999929
2018-12-01,1.132818000000000103
2019-01-01,0.912190399999999957
2019-02-01,1.020442000000000071
2019-03-01,0.966870699999999972
2019-04-01,1.052627999999999897
2019-05-01,0.833852800000000061
2019-06-01,0.699224899999999927
2019-07-01,0.362924699999999989
2019-08-01,0.396465599999999974
2019-09-01,0.257153200000000026
2019-10-01,0.186830200000000002
2019-11-01,0.236396200000000001
2019-12-01,0.437356899999999993
2020-01-01,0.493883200000000022
2020-02-01,0.247115799999999997
2020-03-01,0.136702799999999902
2020-04-01,0.076724029999999999
2020-05-01,-0.236827199999999988
2020-06-01,-0.266475599999999979
2020-07-01,-0.353660599999999992
2020-08-01,-0.530187500000000034
2020-09-01,-0.574773800000000001
2020-10-01,-0.311914099999999916
2020-11-01,-0.205300299999999908
2020-12-01,-0.107724700000000007
2021-01-01,0.334690700000000008
2021-02-01,0.558670199999999895
2021-03-01,0.752866099999999983
2021-04-01,1.033894000000000091
2021-05-01,1.245146000000000086
2021-06-01,1.320921000000000012
2021-07-01,1.879297999999999913
2021-08-01,2.083051999999999904
2021-09-01,2.561350999999999711
2021-10-01,3.020792999999999839
2021-11-01,3.678910999999999820
2021-12-01,3.912894999999999790
2022-01-01,4.823396999999999935
2022-02-01,5.746766000000000041
2022-03-01,6.462932000000000343
2022-04-01,5.985689999999999955
2022-05-01,6.883694000000000202
2022-06-01,7.978517999999998445
2022-07-01,7.921727000000001517
2022-08-01,8.374871000000000620
2022-09-01,8.850271000000001109
2022-10-01,11.794660000000000366
2022-11-01,11.818289999999999296
2022-12-01,11.594960000000000377
2023-01-01,9.997232000000000340
2023-02-01,9.139670999999999879
2023-03-01,7.615936999999999735
2023-04-01,8.132011999999999574
2023-05-01,7.548982999999999777
2023-06-01,6.382937000000000083
2023-07-01,5.989907999999999788
2023-08-01,5.412135000000000140
2023-09-01,5.333037000000000027
2023-10-01,1.747181000000000095
2023-11-01,0.648229800000000078
2023-12-01,0.555091600000000018
2024-01-01,0.808621499999999993
2024-02-01,0.697032300000000049
2024-03-01,1.165591999999999961
2024-04-01,0.849932000000000021
2024-05-01,0.765421800000000041
